TimeCreated,EventID,Computer,SubjectUserName,TargetUserName,LogonType,IpAddress,WorkstationName,AuthenticationPackageName,Status,FailureReason,NewProcessName,ParentProcessName,CommandLine,ServiceName,ServiceFileName
2026-05-15T08:58:14,4624,WS-FINANCE-04,-,jdoe,2,-,WS-FINANCE-04,Negotiate,0x0,,,,,,
2026-05-15T08:59:02,4624,WS-ENG-22,-,mwilson,2,-,WS-ENG-22,Negotiate,0x0,,,,,,
2026-05-15T09:01:33,4624,WS-LEGAL-12,-,smith,2,-,WS-LEGAL-12,Negotiate,0x0,,,,,,
2026-05-15T09:04:18,4624,WS-FINANCE-09,-,dgarcia,2,-,WS-FINANCE-09,Negotiate,0x0,,,,,,
2026-05-15T09:08:45,4624,WS-HR-03,-,lchen,2,-,WS-HR-03,Negotiate,0x0,,,,,,
2026-05-15T10:30:01,4625,DC01,-,jsmith,3,198.51.100.42,KALI-ATTACK,NTLM,0xC000006A,Unknown user name or bad password,,,,,
2026-05-15T10:30:08,4625,DC01,-,mwilson,3,198.51.100.42,KALI-ATTACK,NTLM,0xC000006A,Unknown user name or bad password,,,,,
2026-05-15T10:30:15,4625,DC01,-,kbrown,3,198.51.100.42,KALI-ATTACK,NTLM,0xC000006A,Unknown user name or bad password,,,,,
2026-05-15T10:30:22,4625,DC01,-,jdoe,3,198.51.100.42,KALI-ATTACK,NTLM,0xC000006A,Unknown user name or bad password,,,,,
2026-05-15T10:30:29,4625,DC01,-,dgarcia,3,198.51.100.42,KALI-ATTACK,NTLM,0xC000006A,Unknown user name or bad password,,,,,
2026-05-15T10:30:36,4625,DC01,-,smith,3,198.51.100.42,KALI-ATTACK,NTLM,0xC000006A,Unknown user name or bad password,,,,,
2026-05-15T10:30:43,4625,DC01,-,lchen,3,198.51.100.42,KALI-ATTACK,NTLM,0xC000006A,Unknown user name or bad password,,,,,
2026-05-15T10:30:50,4625,DC01,-,rharris,3,198.51.100.42,KALI-ATTACK,NTLM,0xC000006A,Unknown user name or bad password,,,,,
2026-05-15T10:30:57,4625,DC01,-,ngreen,3,198.51.100.42,KALI-ATTACK,NTLM,0xC000006A,Unknown user name or bad password,,,,,
2026-05-15T10:31:04,4625,DC01,-,pmiller,3,198.51.100.42,KALI-ATTACK,NTLM,0xC000006A,Unknown user name or bad password,,,,,
2026-05-15T10:31:11,4625,DC01,-,awalker,3,198.51.100.42,KALI-ATTACK,NTLM,0xC000006A,Unknown user name or bad password,,,,,
2026-05-15T10:31:18,4625,DC01,-,bphillips,3,198.51.100.42,KALI-ATTACK,NTLM,0xC000006A,Unknown user name or bad password,,,,,
2026-05-15T10:31:25,4625,DC01,-,hclark,3,198.51.100.42,KALI-ATTACK,NTLM,0xC000006A,Unknown user name or bad password,,,,,
2026-05-15T10:31:32,4625,DC01,-,ttaylor,3,198.51.100.42,KALI-ATTACK,NTLM,0xC000006A,Unknown user name or bad password,,,,,
2026-05-15T10:31:39,4625,DC01,-,mjones,3,198.51.100.42,KALI-ATTACK,NTLM,0xC000006A,Unknown user name or bad password,,,,,
2026-05-15T10:31:46,4625,DC01,-,sclark,3,198.51.100.42,KALI-ATTACK,NTLM,0xC000006A,Unknown user name or bad password,,,,,
